chapter#,verse#,chapter,verse
3,146,سورة ال عمران,وكاين من نبي قٰتل معه ربيون كثير فما وهنوا لما اصابهم في سبيل الله وما ضعفوا وما استكانوا والله يحب الصٰبرين
3,147,سورة ال عمران,وما كان قولهم الا ان قالوا ربنا اغفر لنا ذنوبنا واسرافنا في امرنا وثبت اقدامنا وانصرنا على القوم الكٰفرين
3,148,سورة ال عمران,فاتىٰهم الله ثواب الدنيا وحسن ثواب الاخرة والله يحب المحسنين
3,149,سورة ال عمران,يٰايها الذين ءامنوا ان تطيعوا الذين كفروا يردوكم علىٰ اعقٰبكم فتنقلبوا خٰسرين
3,150,سورة ال عمران,بل الله مولىٰكم وهو خير النٰصرين
3,151,سورة ال عمران,سنلقي في قلوب الذين كفروا الرعب بما اشركوا بالله ما لم ينزل به سلطٰنا وماوىٰهم النار وبئس مثوى الظٰلمين
3,152,سورة ال عمران,ولقد صدقكم الله وعده اذ تحسونهم باذنه حتىٰ اذا فشلتم وتنٰزعتم في الامر وعصيتم من بعد ما ارىٰكم ما تحبون منكم من يريد الدنيا ومنكم من يريد الاخرة ثم صرفكم عنهم ليبتليكم ولقد عفا عنكم والله ذو فضل على المؤمنين
3,153,سورة ال عمران,اذ تصعدون ولا تلون علىٰ احد والرسول يدعوكم في اخرىٰكم فاثٰبكم غما بغم لكيلا تحزنوا علىٰ ما فاتكم ولا ما اصٰبكم والله خبير بما تعملون
3,154,سورة ال عمران,ثم انزل عليكم من بعد الغم امنة نعاسا يغشىٰ طائفة منكم وطائفة قد اهمتهم انفسهم يظنون بالله غير الحق ظن الجٰهلية يقولون هل لنا من الامر من شيء قل ان الامر كله لله يخفون في انفسهم ما لا يبدون لك يقولون لو كان لنا من الامر شيء ما قتلنا هٰهنا قل لو كنتم في بيوتكم لبرز الذين كتب عليهم القتل الىٰ مضاجعهم وليبتلي الله ما في صدوركم وليمحص ما في قلوبكم والله عليم بذات الصدور
3,155,سورة ال عمران,ان الذين تولوا منكم يوم التقى الجمعان انما استزلهم الشيطٰن ببعض ما كسبوا ولقد عفا الله عنهم ان الله غفور حليم
3,156,سورة ال عمران,يٰايها الذين ءامنوا لا تكونوا كالذين كفروا وقالوا لاخوٰنهم اذا ضربوا في الارض او كانوا غزى لو كانوا عندنا ما ماتوا وما قتلوا ليجعل الله ذٰلك حسرة في قلوبهم والله يحي ويميت والله بما تعملون بصير
3,157,سورة ال عمران,ولئن قتلتم في سبيل الله او متم لمغفرة من الله ورحمة خير مما يجمعون
3,158,سورة ال عمران,ولئن متم او قتلتم لالى الله تحشرون
3,159,سورة ال عمران,فبما رحمة من الله لنت لهم ولو كنت فظا غليظ القلب لانفضوا من حولك فاعف عنهم واستغفر لهم وشاورهم في الامر فاذا عزمت فتوكل على الله ان الله يحب المتوكلين
3,160,سورة ال عمران,ان ينصركم الله فلا غالب لكم وان يخذلكم فمن ذا الذي ينصركم من بعده وعلى الله فليتوكل المؤمنون
3,161,سورة ال عمران,وما كان لنبي ان يغل ومن يغلل يات بما غل يوم القيٰمة ثم توفىٰ كل نفس ما كسبت وهم لا يظلمون
3,162,سورة ال عمران,افمن اتبع رضوٰن الله كمن باء بسخط من الله وماوىٰه جهنم وبئس المصير
3,163,سورة ال عمران,هم درجٰت عند الله والله بصير بما يعملون
3,164,سورة ال عمران,لقد من الله على المؤمنين اذ بعث فيهم رسولا من انفسهم يتلوا عليهم ءايٰته ويزكيهم ويعلمهم الكتٰب والحكمة وان كانوا من قبل لفي ضلٰل مبين
3,165,سورة ال عمران,اولما اصٰبتكم مصيبة قد اصبتم مثليها قلتم انىٰ هٰذا قل هو من عند انفسكم ان الله علىٰ كل شيء قدير
3,166,سورة ال عمران,وما اصٰبكم يوم التقى الجمعان فباذن الله وليعلم المؤمنين
3,167,سورة ال عمران,وليعلم الذين نافقوا وقيل لهم تعالوا قٰتلوا في سبيل الله او ادفعوا قالوا لو نعلم قتالا لاتبعنٰكم هم للكفر يومئذ اقرب منهم للايمٰن يقولون بافوٰههم ما ليس في قلوبهم والله اعلم بما يكتمون
3,168,سورة ال عمران,الذين قالوا لاخوٰنهم وقعدوا لو اطاعونا ما قتلوا قل فادرءوا عن انفسكم الموت ان كنتم صٰدقين
3,169,سورة ال عمران,ولا تحسبن الذين قتلوا في سبيل الله اموٰتا بل احياء عند ربهم يرزقون
3,170,سورة ال عمران,فرحين بما ءاتىٰهم الله من فضله ويستبشرون بالذين لم يلحقوا بهم من خلفهم الا خوف عليهم ولا هم يحزنون
3,171,سورة ال عمران,يستبشرون بنعمة من الله وفضل وان الله لا يضيع اجر المؤمنين
3,172,سورة ال عمران,الذين استجابوا لله والرسول من بعد ما اصابهم القرح للذين احسنوا منهم واتقوا اجر عظيم
3,173,سورة ال عمران,الذين قال لهم الناس ان الناس قد جمعوا لكم فاخشوهم فزادهم ايمٰنا وقالوا حسبنا الله ونعم الوكيل
3,174,سورة ال عمران,فانقلبوا بنعمة من الله وفضل لم يمسسهم سوء واتبعوا رضوٰن الله والله ذو فضل عظيم
3,175,سورة ال عمران,انما ذٰلكم الشيطٰن يخوف اولياءه فلا تخافوهم وخافون ان كنتم مؤمنين
3,176,سورة ال عمران,ولا يحزنك الذين يسٰرعون في الكفر انهم لن يضروا الله شيا يريد الله الا يجعل لهم حظا في الاخرة ولهم عذاب عظيم
3,177,سورة ال عمران,ان الذين اشتروا الكفر بالايمٰن لن يضروا الله شيا ولهم عذاب اليم
3,178,سورة ال عمران,ولا يحسبن الذين كفروا انما نملي لهم خير لانفسهم انما نملي لهم ليزدادوا اثما ولهم عذاب مهين
3,179,سورة ال عمران,ما كان الله ليذر المؤمنين علىٰ ما انتم عليه حتىٰ يميز الخبيث من الطيب وما كان الله ليطلعكم على الغيب ولٰكن الله يجتبي من رسله من يشاء فامنوا بالله ورسله وان تؤمنوا وتتقوا فلكم اجر عظيم
3,180,سورة ال عمران,ولا يحسبن الذين يبخلون بما ءاتىٰهم الله من فضله هو خيرا لهم بل هو شر لهم سيطوقون ما بخلوا به يوم القيٰمة ولله ميرٰث السمٰوٰت والارض والله بما تعملون خبير
3,181,سورة ال عمران,لقد سمع الله قول الذين قالوا ان الله فقير ونحن اغنياء سنكتب ما قالوا وقتلهم الانبياء بغير حق ونقول ذوقوا عذاب الحريق
3,182,سورة ال عمران,ذٰلك بما قدمت ايديكم وان الله ليس بظلام للعبيد
3,183,سورة ال عمران,الذين قالوا ان الله عهد الينا الا نؤمن لرسول حتىٰ ياتينا بقربان تاكله النار قل قد جاءكم رسل من قبلي بالبينٰت وبالذي قلتم فلم قتلتموهم ان كنتم صٰدقين
3,184,سورة ال عمران,فان كذبوك فقد كذب رسل من قبلك جاءو بالبينٰت والزبر والكتٰب المنير
3,185,سورة ال عمران,كل نفس ذائقة الموت وانما توفون اجوركم يوم القيٰمة فمن زحزح عن النار وادخل الجنة فقد فاز وما الحيوٰة الدنيا الا متٰع الغرور
3,186,سورة ال عمران,لتبلون في اموٰلكم وانفسكم ولتسمعن من الذين اوتوا الكتٰب من قبلكم ومن الذين اشركوا اذى كثيرا وان تصبروا وتتقوا فان ذٰلك من عزم الامور
3,187,سورة ال عمران,واذ اخذ الله ميثٰق الذين اوتوا الكتٰب لتبيننه للناس ولا تكتمونه فنبذوه وراء ظهورهم واشتروا به ثمنا قليلا فبئس ما يشترون
3,188,سورة ال عمران,لا تحسبن الذين يفرحون بما اتوا ويحبون ان يحمدوا بما لم يفعلوا فلا تحسبنهم بمفازة من العذاب ولهم عذاب اليم
3,189,سورة ال عمران,ولله ملك السمٰوٰت والارض والله علىٰ كل شيء قدير
3,190,سورة ال عمران,ان في خلق السمٰوٰت والارض واختلٰف اليل والنهار لايٰت لاولي الالبٰب
3,191,سورة ال عمران,الذين يذكرون الله قيٰما وقعودا وعلىٰ جنوبهم ويتفكرون في خلق السمٰوٰت والارض ربنا ما خلقت هٰذا بٰطلا سبحٰنك فقنا عذاب النار
3,192,سورة ال عمران,ربنا انك من تدخل النار فقد اخزيته وما للظٰلمين من انصار
3,193,سورة ال عمران,ربنا اننا سمعنا مناديا ينادي للايمٰن ان ءامنوا بربكم فامنا ربنا فاغفر لنا ذنوبنا وكفر عنا سياتنا وتوفنا مع الابرار
3,194,سورة ال عمران,ربنا وءاتنا ما وعدتنا علىٰ رسلك ولا تخزنا يوم القيٰمة انك لا تخلف الميعاد
3,195,سورة ال عمران,فاستجاب لهم ربهم اني لا اضيع عمل عٰمل منكم من ذكر او انثىٰ بعضكم من بعض فالذين هاجروا واخرجوا من ديٰرهم واوذوا في سبيلي وقٰتلوا وقتلوا لاكفرن عنهم سياتهم ولادخلنهم جنٰت تجري من تحتها الانهٰر ثوابا من عند الله والله عنده حسن الثواب
3,196,سورة ال عمران,لا يغرنك تقلب الذين كفروا في البلٰد
3,197,سورة ال عمران,متٰع قليل ثم ماوىٰهم جهنم وبئس المهاد
3,198,سورة ال عمران,لٰكن الذين اتقوا ربهم لهم جنٰت تجري من تحتها الانهٰر خٰلدين فيها نزلا من عند الله وما عند الله خير للابرار
3,199,سورة ال عمران,وان من اهل الكتٰب لمن يؤمن بالله وما انزل اليكم وما انزل اليهم خٰشعين لله لا يشترون بايٰت الله ثمنا قليلا اولٰئك لهم اجرهم عند ربهم ان الله سريع الحساب
3,200,سورة ال عمران,يٰايها الذين ءامنوا اصبروا وصابروا ورابطوا واتقوا الله لعلكم تفلحون
4,0,سورة النساء,سورة النساء
4,0,سورة النساء,بسم الله الرحمٰن الرحيم
4,1,سورة النساء,يٰايها الناس اتقوا ربكم الذي خلقكم من نفس وٰحدة وخلق منها زوجها وبث منهما رجالا كثيرا ونساء واتقوا الله الذي تساءلون به والارحام ان الله كان عليكم رقيبا
4,2,سورة النساء,وءاتوا اليتٰمىٰ اموٰلهم ولا تتبدلوا الخبيث بالطيب ولا تاكلوا اموٰلهم الىٰ اموٰلكم انه كان حوبا كبيرا
4,3,سورة النساء,وان خفتم الا تقسطوا في اليتٰمىٰ فانكحوا ما طاب لكم من النساء مثنىٰ وثلٰث وربٰع فان خفتم الا تعدلوا فوٰحدة او ما ملكت ايمٰنكم ذٰلك ادنىٰ الا تعولوا
4,4,سورة النساء,وءاتوا النساء صدقٰتهن نحلة فان طبن لكم عن شيء منه نفسا فكلوه هنيا مريا
4,5,سورة النساء,ولا تؤتوا السفهاء اموٰلكم التي جعل الله لكم قيٰما وارزقوهم فيها واكسوهم وقولوا لهم قولا معروفا
4,6,سورة النساء,وابتلوا اليتٰمىٰ حتىٰ اذا بلغوا النكاح فان ءانستم منهم رشدا فادفعوا اليهم اموٰلهم ولا تاكلوها اسرافا وبدارا ان يكبروا ومن كان غنيا فليستعفف ومن كان فقيرا فلياكل بالمعروف فاذا دفعتم اليهم اموٰلهم فاشهدوا عليهم وكفىٰ بالله حسيبا
4,7,سورة النساء,للرجال نصيب مما ترك الوٰلدان والاقربون وللنساء نصيب مما ترك الوٰلدان والاقربون مما قل منه او كثر نصيبا مفروضا
4,8,سورة النساء,واذا حضر القسمة اولوا القربىٰ واليتٰمىٰ والمسٰكين فارزقوهم منه وقولوا لهم قولا معروفا
4,9,سورة النساء,وليخش الذين لو تركوا من خلفهم ذرية ضعٰفا خافوا عليهم فليتقوا الله وليقولوا قولا سديدا
4,10,سورة النساء,ان الذين ياكلون اموٰل اليتٰمىٰ ظلما انما ياكلون في بطونهم نارا وسيصلون سعيرا
4,11,سورة النساء,يوصيكم الله في اولٰدكم للذكر مثل حظ الانثيين فان كن نساء فوق اثنتين فلهن ثلثا ما ترك وان كانت وٰحدة فلها النصف ولابويه لكل وٰحد منهما السدس مما ترك ان كان له ولد فان لم يكن له ولد وورثه ابواه فلامه الثلث فان كان له اخوة فلامه السدس من بعد وصية يوصي بها او دين ءاباؤكم وابناؤكم لا تدرون ايهم اقرب لكم نفعا فريضة من الله ان الله كان عليما حكيما
4,12,سورة النساء,ولكم نصف ما ترك ازوٰجكم ان لم يكن لهن ولد فان كان لهن ولد فلكم الربع مما تركن من بعد وصية يوصين بها او دين ولهن الربع مما تركتم ان لم يكن لكم ولد فان كان لكم ولد فلهن الثمن مما تركتم من بعد وصية توصون بها او دين وان كان رجل يورث كلٰلة او امراة وله اخ او اخت فلكل وٰحد منهما السدس فان كانوا اكثر من ذٰلك فهم شركاء في الثلث من بعد وصية يوصىٰ بها او دين غير مضار وصية من الله والله عليم حليم
4,13,سورة النساء,تلك حدود الله ومن يطع الله ورسوله يدخله جنٰت تجري من تحتها الانهٰر خٰلدين فيها وذٰلك الفوز العظيم
4,14,سورة النساء,ومن يعص الله ورسوله ويتعد حدوده يدخله نارا خٰلدا فيها وله عذاب مهين
4,15,سورة النساء,والٰتي ياتين الفٰحشة من نسائكم فاستشهدوا عليهن اربعة منكم فان شهدوا فامسكوهن في البيوت حتىٰ يتوفىٰهن الموت او يجعل الله لهن سبيلا
4,16,سورة النساء,والذان ياتيٰنها منكم فاذوهما فان تابا واصلحا فاعرضوا عنهما ان الله كان توابا رحيما
4,17,سورة النساء,انما التوبة على الله للذين يعملون السوء بجهٰلة ثم يتوبون من قريب فاولٰئك يتوب الله عليهم وكان الله عليما حكيما
4,18,سورة النساء,وليست التوبة للذين يعملون السيات حتىٰ اذا حضر احدهم الموت قال اني تبت الٰن ولا الذين يموتون وهم كفار اولٰئك اعتدنا لهم عذابا اليما
4,19,سورة النساء,يٰايها الذين ءامنوا لا يحل لكم ان ترثوا النساء كرها ولا تعضلوهن لتذهبوا ببعض ما ءاتيتموهن الا ان ياتين بفٰحشة مبينة وعاشروهن بالمعروف فان كرهتموهن فعسىٰ ان تكرهوا شيا ويجعل الله فيه خيرا كثيرا
4,20,سورة النساء,وان اردتم استبدال زوج مكان زوج وءاتيتم احدىٰهن قنطارا فلا تاخذوا منه شيا اتاخذونه بهتٰنا واثما مبينا
4,21,سورة النساء,وكيف تاخذونه وقد افضىٰ بعضكم الىٰ بعض واخذن منكم ميثٰقا غليظا
4,22,سورة النساء,ولا تنكحوا ما نكح ءاباؤكم من النساء الا ما قد سلف انه كان فٰحشة ومقتا وساء سبيلا
4,23,سورة النساء,حرمت عليكم امهٰتكم وبناتكم واخوٰتكم وعمٰتكم وخٰلٰتكم وبنات الاخ وبنات الاخت وامهٰتكم الٰتي ارضعنكم واخوٰتكم من الرضٰعة وامهٰت نسائكم وربٰئبكم الٰتي في حجوركم من نسائكم الٰتي دخلتم بهن فان لم تكونوا دخلتم بهن فلا جناح عليكم وحلٰئل ابنائكم الذين من اصلٰبكم وان تجمعوا بين الاختين الا ما قد سلف ان الله كان غفورا رحيما
4,24,سورة النساء,والمحصنٰت من النساء الا ما ملكت ايمٰنكم كتٰب الله عليكم واحل لكم ما وراء ذٰلكم ان تبتغوا باموٰلكم محصنين غير مسٰفحين فما استمتعتم به منهن فاتوهن اجورهن فريضة ولا جناح عليكم فيما ترٰضيتم به من بعد الفريضة ان الله كان عليما حكيما
4,25,سورة النساء,ومن لم يستطع منكم طولا ان ينكح المحصنٰت المؤمنٰت فمن ما ملكت ايمٰنكم من فتيٰتكم المؤمنٰت والله اعلم بايمٰنكم بعضكم من بعض فانكحوهن باذن اهلهن وءاتوهن اجورهن بالمعروف محصنٰت غير مسٰفحٰت ولا متخذٰت اخدان فاذا احصن فان اتين بفٰحشة فعليهن نصف ما على المحصنٰت من العذاب ذٰلك لمن خشي العنت منكم وان تصبروا خير لكم والله غفور رحيم
4,26,سورة النساء,يريد الله ليبين لكم ويهديكم سنن الذين من قبلكم ويتوب عليكم والله عليم حكيم
4,27,سورة النساء,والله يريد ان يتوب عليكم ويريد الذين يتبعون الشهوٰت ان تميلوا ميلا عظيما
4,28,سورة النساء,يريد الله ان يخفف عنكم وخلق الانسٰن ضعيفا
4,29,سورة النساء,يٰايها الذين ءامنوا لا تاكلوا اموٰلكم بينكم بالبٰطل الا ان تكون تجٰرة عن تراض منكم ولا تقتلوا انفسكم ان الله كان بكم رحيما
4,30,سورة النساء,ومن يفعل ذٰلك عدوٰنا وظلما فسوف نصليه نارا وكان ذٰلك على الله يسيرا
4,31,سورة النساء,ان تجتنبوا كبائر ما تنهون عنه نكفر عنكم سياتكم وندخلكم مدخلا كريما
4,32,سورة النساء,ولا تتمنوا ما فضل الله به بعضكم علىٰ بعض للرجال نصيب مما اكتسبوا وللنساء نصيب مما اكتسبن وسلوا الله من فضله ان الله كان بكل شيء عليما
4,33,سورة النساء,ولكل جعلنا موٰلي مما ترك الوٰلدان والاقربون والذين عقدت ايمٰنكم فاتوهم نصيبهم ان الله كان علىٰ كل شيء شهيدا
4,34,سورة النساء,الرجال قوٰمون على النساء بما فضل الله بعضهم علىٰ بعض وبما انفقوا من اموٰلهم فالصٰلحٰت قٰنتٰت حٰفظٰت للغيب بما حفظ الله والٰتي تخافون نشوزهن فعظوهن واهجروهن في المضاجع واضربوهن فان اطعنكم فلا تبغوا عليهن سبيلا ان الله كان عليا كبيرا
4,35,سورة النساء,وان خفتم شقاق بينهما فابعثوا حكما من اهله وحكما من اهلها ان يريدا اصلٰحا يوفق الله بينهما ان الله كان عليما خبيرا
4,36,سورة النساء,واعبدوا الله ولا تشركوا به شيا وبالوٰلدين احسٰنا وبذي القربىٰ واليتٰمىٰ والمسٰكين والجار ذي القربىٰ والجار الجنب والصاحب بالجنب وابن السبيل وما ملكت ايمٰنكم ان الله لا يحب من كان مختالا فخورا
4,37,سورة النساء,الذين يبخلون ويامرون الناس بالبخل ويكتمون ما ءاتىٰهم الله من فضله واعتدنا للكٰفرين عذابا مهينا
4,38,سورة النساء,والذين ينفقون اموٰلهم رئاء الناس ولا يؤمنون بالله ولا باليوم الاخر ومن يكن الشيطٰن له قرينا فساء قرينا
4,39,سورة النساء,وماذا عليهم لو ءامنوا بالله واليوم الاخر وانفقوا مما رزقهم الله وكان الله بهم عليما
4,40,سورة النساء,ان الله لا يظلم مثقال ذرة وان تك حسنة يضٰعفها ويؤت من لدنه اجرا عظيما
4,41,سورة النساء,فكيف اذا جئنا من كل امة بشهيد وجئنا بك علىٰ هٰؤلاء شهيدا
4,42,سورة النساء,يومئذ يود الذين كفروا وعصوا الرسول لو تسوىٰ بهم الارض ولا يكتمون الله حديثا
4,43,سورة النساء,يٰايها الذين ءامنوا لا تقربوا الصلوٰة وانتم سكٰرىٰ حتىٰ تعلموا ما تقولون ولا جنبا الا عابري سبيل حتىٰ تغتسلوا وان كنتم مرضىٰ او علىٰ سفر او جاء احد منكم من الغائط او لٰمستم النساء فلم تجدوا ماء فتيمموا صعيدا طيبا فامسحوا بوجوهكم وايديكم ان الله كان عفوا غفورا
4,44,سورة النساء,الم تر الى الذين اوتوا نصيبا من الكتٰب يشترون الضلٰلة ويريدون ان تضلوا السبيل
4,45,سورة النساء,والله اعلم باعدائكم وكفىٰ بالله وليا وكفىٰ بالله نصيرا
4,46,سورة النساء,من الذين هادوا يحرفون الكلم عن مواضعه ويقولون سمعنا وعصينا واسمع غير مسمع ورٰعنا ليا بالسنتهم وطعنا في الدين ولو انهم قالوا سمعنا واطعنا واسمع وانظرنا لكان خيرا لهم واقوم ولٰكن لعنهم الله بكفرهم فلا يؤمنون الا قليلا
4,47,سورة النساء,يٰايها الذين اوتوا الكتٰب ءامنوا بما نزلنا مصدقا لما معكم من قبل ان نطمس وجوها فنردها علىٰ ادبارها او نلعنهم كما لعنا اصحٰب السبت وكان امر الله مفعولا
4,48,سورة النساء,ان الله لا يغفر ان يشرك به ويغفر ما دون ذٰلك لمن يشاء ومن يشرك بالله فقد افترىٰ اثما عظيما
4,49,سورة النساء,الم تر الى الذين يزكون انفسهم بل الله يزكي من يشاء ولا يظلمون فتيلا
4,50,سورة النساء,انظر كيف يفترون على الله الكذب وكفىٰ به اثما مبينا
4,51,سورة النساء,الم تر الى الذين اوتوا نصيبا من الكتٰب يؤمنون بالجبت والطٰغوت ويقولون للذين كفروا هٰؤلاء اهدىٰ من الذين ءامنوا سبيلا
4,52,سورة النساء,اولٰئك الذين لعنهم الله ومن يلعن الله فلن تجد له نصيرا
4,53,سورة النساء,ام لهم نصيب من الملك فاذا لا يؤتون الناس نقيرا
4,54,سورة النساء,ام يحسدون الناس علىٰ ما ءاتىٰهم الله من فضله فقد ءاتينا ءال ابرٰهيم الكتٰب والحكمة وءاتينٰهم ملكا عظيما
4,55,سورة النساء,فمنهم من ءامن به ومنهم من صد عنه وكفىٰ بجهنم سعيرا
4,56,سورة النساء,ان الذين كفروا بايٰتنا سوف نصليهم نارا كلما نضجت جلودهم بدلنٰهم جلودا غيرها ليذوقوا العذاب ان الله كان عزيزا حكيما
4,57,سورة النساء,والذين ءامنوا وعملوا الصٰلحٰت سندخلهم جنٰت تجري من تحتها الانهٰر خٰلدين فيها ابدا لهم فيها ازوٰج مطهرة وندخلهم ظلا ظليلا
4,58,سورة النساء,ان الله يامركم ان تؤدوا الامٰنٰت الىٰ اهلها واذا حكمتم بين الناس ان تحكموا بالعدل ان الله نعما يعظكم به ان الله كان سميعا بصيرا
4,59,سورة النساء,يٰايها الذين ءامنوا اطيعوا الله واطيعوا الرسول واولي الامر منكم فان تنٰزعتم في شيء فردوه الى الله والرسول ان كنتم تؤمنون بالله واليوم الاخر ذٰلك خير واحسن تاويلا
4,60,سورة النساء,الم تر الى الذين يزعمون انهم ءامنوا بما انزل اليك وما انزل من قبلك يريدون ان يتحاكموا الى الطٰغوت وقد امروا ان يكفروا به ويريد الشيطٰن ان يضلهم ضلٰلا بعيدا
4,61,سورة النساء,واذا قيل لهم تعالوا الىٰ ما انزل الله والى الرسول رايت المنٰفقين يصدون عنك صدودا
4,62,سورة النساء,فكيف اذا اصٰبتهم مصيبة بما قدمت ايديهم ثم جاءوك يحلفون بالله ان اردنا الا احسٰنا وتوفيقا
4,63,سورة النساء,اولٰئك الذين يعلم الله ما في قلوبهم فاعرض عنهم وعظهم وقل لهم في انفسهم قولا بليغا
4,64,سورة النساء,وما ارسلنا من رسول الا ليطاع باذن الله ولو انهم اذ ظلموا انفسهم جاءوك فاستغفروا الله واستغفر لهم الرسول لوجدوا الله توابا رحيما
4,65,سورة النساء,فلا وربك لا يؤمنون حتىٰ يحكموك فيما شجر بينهم ثم لا يجدوا في انفسهم حرجا مما قضيت ويسلموا تسليما
4,66,سورة النساء,ولو انا كتبنا عليهم ان اقتلوا انفسكم او اخرجوا من ديٰركم ما فعلوه الا قليل منهم ولو انهم فعلوا ما يوعظون به لكان خيرا لهم واشد تثبيتا
4,67,سورة النساء,واذا لاتينٰهم من لدنا اجرا عظيما
4,68,سورة النساء,ولهدينٰهم صرٰطا مستقيما
4,69,سورة النساء,ومن يطع الله والرسول فاولٰئك مع الذين انعم الله عليهم من النبين والصديقين والشهداء والصٰلحين وحسن اولٰئك رفيقا
4,70,سورة النساء,ذٰلك الفضل من الله وكفىٰ بالله عليما
4,71,سورة النساء,يٰايها الذين ءامنوا خذوا حذركم فانفروا ثبات او انفروا جميعا
4,72,سورة النساء,وان منكم لمن ليبطئن فان اصٰبتكم مصيبة قال قد انعم الله علي اذ لم اكن معهم شهيدا
4,73,سورة النساء,ولئن اصٰبكم فضل من الله ليقولن كان لم تكن بينكم وبينه مودة يٰليتني كنت معهم فافوز فوزا عظيما
4,74,سورة النساء,فليقٰتل في سبيل الله الذين يشرون الحيوٰة الدنيا بالاخرة ومن يقٰتل في سبيل الله فيقتل او يغلب فسوف نؤتيه اجرا عظيما
4,75,سورة النساء,وما لكم لا تقٰتلون في سبيل الله والمستضعفين من الرجال والنساء والولدٰن الذين يقولون ربنا اخرجنا من هٰذه القرية الظالم اهلها واجعل لنا من لدنك وليا واجعل لنا من لدنك نصيرا
4,76,سورة النساء,الذين ءامنوا يقٰتلون في سبيل الله والذين كفروا يقٰتلون في سبيل الطٰغوت فقٰتلوا اولياء الشيطٰن ان كيد الشيطٰن كان ضعيفا
4,77,سورة النساء,الم تر الى الذين قيل لهم كفوا ايديكم واقيموا الصلوٰة وءاتوا الزكوٰة فلما كتب عليهم القتال اذا فريق منهم يخشون الناس كخشية الله او اشد خشية وقالوا ربنا لم كتبت علينا القتال لولا اخرتنا الىٰ اجل قريب قل متٰع الدنيا قليل والاخرة خير لمن اتقىٰ ولا تظلمون فتيلا
4,78,سورة النساء,اينما تكونوا يدرككم الموت ولو كنتم في بروج مشيدة وان تصبهم حسنة يقولوا هٰذه من عند الله وان تصبهم سيئة يقولوا هٰذه من عندك قل كل من عند الله فمال هٰؤلاء القوم لا يكادون يفقهون حديثا
4,79,سورة النساء,ما اصابك من حسنة فمن الله وما اصابك من سيئة فمن نفسك وارسلنٰك للناس رسولا وكفىٰ بالله شهيدا
4,80,سورة النساء,من يطع الرسول فقد اطاع الله ومن تولىٰ فما ارسلنٰك عليهم حفيظا
4,81,سورة النساء,ويقولون طاعة فاذا برزوا من عندك بيت طائفة منهم غير الذي تقول والله يكتب ما يبيتون فاعرض عنهم وتوكل على الله وكفىٰ بالله وكيلا
4,82,سورة النساء,افلا يتدبرون القرءان ولو كان من عند غير الله لوجدوا فيه اختلٰفا كثيرا
4,83,سورة النساء,واذا جاءهم امر من الامن او الخوف اذاعوا به ولو ردوه الى الرسول والىٰ اولي الامر منهم لعلمه الذين يستنبطونه منهم ولولا فضل الله عليكم ورحمته لاتبعتم الشيطٰن الا قليلا
4,84,سورة النساء,فقٰتل في سبيل الله لا تكلف الا نفسك وحرض المؤمنين عسى الله ان يكف باس الذين كفروا والله اشد باسا واشد تنكيلا
4,85,سورة النساء,من يشفع شفٰعة حسنة يكن له نصيب منها ومن يشفع شفٰعة سيئة يكن له كفل منها وكان الله علىٰ كل شيء مقيتا
4,86,سورة النساء,واذا حييتم بتحية فحيوا باحسن منها او ردوها ان الله كان علىٰ كل شيء حسيبا
4,87,سورة النساء,الله لا الٰه الا هو ليجمعنكم الىٰ يوم القيٰمة لا ريب فيه ومن اصدق من الله حديثا
4,88,سورة النساء,فما لكم في المنٰفقين فئتين والله اركسهم بما كسبوا اتريدون ان تهدوا من اضل الله ومن يضلل الله فلن تجد له سبيلا
4,89,سورة النساء,ودوا لو تكفرون كما كفروا فتكونون سواء فلا تتخذوا منهم اولياء حتىٰ يهاجروا في سبيل الله فان تولوا فخذوهم واقتلوهم حيث وجدتموهم ولا تتخذوا منهم وليا ولا نصيرا
4,90,سورة النساء,الا الذين يصلون الىٰ قوم بينكم وبينهم ميثٰق او جاءوكم حصرت صدورهم ان يقٰتلوكم او يقٰتلوا قومهم ولو شاء الله لسلطهم عليكم فلقٰتلوكم فان اعتزلوكم فلم يقٰتلوكم والقوا اليكم السلم فما جعل الله لكم عليهم سبيلا
4,91,سورة النساء,ستجدون ءاخرين يريدون ان يامنوكم ويامنوا قومهم كل ما ردوا الى الفتنة اركسوا فيها فان لم يعتزلوكم ويلقوا اليكم السلم ويكفوا ايديهم فخذوهم واقتلوهم حيث ثقفتموهم واولٰئكم جعلنا لكم عليهم سلطٰنا مبينا
4,92,سورة النساء,وما كان لمؤمن ان يقتل مؤمنا الا خطا ومن قتل مؤمنا خطا فتحرير رقبة مؤمنة ودية مسلمة الىٰ اهله الا ان يصدقوا فان كان من قوم عدو لكم وهو مؤمن فتحرير رقبة مؤمنة وان كان من قوم بينكم وبينهم ميثٰق فدية مسلمة الىٰ اهله وتحرير رقبة مؤمنة فمن لم يجد فصيام شهرين متتابعين توبة من الله وكان الله عليما حكيما
4,93,سورة النساء,ومن يقتل مؤمنا متعمدا فجزاؤه جهنم خٰلدا فيها وغضب الله عليه ولعنه واعد له عذابا عظيما
